iter	Accuracy	Logloss
0	0.6535893155	0.6914855027
1	0.6986644407	0.6903581725
2	0.7387312187	0.6884163803
3	0.7625208681	0.6866216692
4	0.7562604341	0.6853718545
5	0.7625208681	0.6839367239
6	0.7725375626	0.682350144
7	0.7712854758	0.6810539065
8	0.7829716194	0.6793173915
9	0.7858931553	0.6779254999
10	0.7879799666	0.6763995399
11	0.7838063439	0.6747810068
12	0.7863105175	0.6737247311
13	0.7863105175	0.6724774962
14	0.7817195326	0.671227578
15	0.790066778	0.6696234399
16	0.7921535893	0.6677588288
17	0.7950751252	0.6659884779
18	0.796327212	0.6647012317
19	0.8038397329	0.6631817169
20	0.8017529215	0.6616344426
21	0.8042570952	0.6604404983
22	0.8046744574	0.6589847762
23	0.8042570952	0.6574918973
24	0.8121869783	0.6557687766
25	0.8138564274	0.6541884077
26	0.8192821369	0.6529179689
27	0.8188647746	0.6514857898
28	0.820951586	0.6500335562
29	0.8288814691	0.6484142679
30	0.8334724541	0.6469867988
31	0.8351419032	0.6457331199
32	0.83639399	0.6445359998
33	0.8351419032	0.643230351
34	0.8347245409	0.6418812129
35	0.8384808013	0.6405661787
36	0.8380634391	0.6395430347
37	0.8388981636	0.6382456308
38	0.842654424	0.6368892506
39	0.8393155259	0.6355446644
40	0.8393155259	0.6339373984
41	0.8434891486	0.6325152739
42	0.8459933222	0.6312855368
43	0.8493322204	0.6297653046
44	0.8468280467	0.6288291048
45	0.8484974958	0.627444194
46	0.8497495826	0.6263304082
47	0.8539232053	0.6252528151
48	0.8526711185	0.6240508208
49	0.8543405676	0.6227964814
50	0.8551752922	0.6212619432
51	0.8572621035	0.6199583476
52	0.8585141903	0.6188315259
53	0.8601836394	0.6177143174
54	0.8589315526	0.6166633198
55	0.858096828	0.6153411844
56	0.858096828	0.6141666858
57	0.8606010017	0.6130024807
58	0.8631051753	0.6115204012
59	0.862687813	0.6101849997
60	0.8656093489	0.6090695411
61	0.8664440735	0.6080553155
62	0.8651919866	0.6071604435
63	0.8631051753	0.6063174763
64	0.8643572621	0.6050867587
65	0.8651919866	0.6040427326
66	0.8664440735	0.6030152229
67	0.8664440735	0.6017215687
68	0.8702003339	0.6004170056
69	0.8702003339	0.5993250286
70	0.871869783	0.5982508364
71	0.8706176962	0.5973298939
72	0.8731218698	0.5963498105
73	0.8760434057	0.595054869
74	0.8739565943	0.5942542535
75	0.8772954925	0.5931174516
76	0.8772954925	0.5918209232
77	0.8785475793	0.5904929414
78	0.8797996661	0.5893589202
79	0.8806343907	0.5880916769
80	0.8793823038	0.5868617218
81	0.8802170284	0.58561462
82	0.8818864775	0.5845986041
83	0.8806343907	0.5838366874
84	0.8818864775	0.58260258
85	0.8823038397	0.5816124967
86	0.882721202	0.5805708696
87	0.8864774624	0.5795203177
88	0.8877295492	0.5784735148
89	0.8898163606	0.5774219479
90	0.8889816361	0.576472212
91	0.8898163606	0.5753432952
92	0.8898163606	0.5745422611
93	0.8910684474	0.5735842517
94	0.8898163606	0.5729217943
95	0.8906510851	0.5720407247
96	0.8906510851	0.5710506249
97	0.893572621	0.570095308
98	0.893572621	0.5692583035
99	0.8944073456	0.5685390331
100	0.8944073456	0.5677705038
101	0.893572621	0.5667968774
102	0.8956594324	0.5658838783
103	0.8969115192	0.5648329862
104	0.8977462437	0.5638406424
105	0.8948247078	0.5631508704
106	0.8952420701	0.5622890686
107	0.8964941569	0.5613410999
108	0.8973288815	0.560362358
109	0.8998330551	0.5591100367
110	0.8994156928	0.5580572493
111	0.8994156928	0.557134295
112	0.9010851419	0.5561037313
113	0.9015025042	0.5551786249
114	0.9048414023	0.5538959738
115	0.9056761269	0.5531959908
116	0.9052587646	0.5523725376
117	0.9052587646	0.5514681816
118	0.9040066778	0.5503520752
119	0.9060934891	0.5493876176
120	0.9052587646	0.5483529732
121	0.9052587646	0.5475984384
122	0.9056761269	0.5463763502
123	0.9052587646	0.5453843214
124	0.9052587646	0.5447236598
125	0.9044240401	0.543939827
126	0.9052587646	0.5431600196
127	0.9048414023	0.5420792894
128	0.9077629382	0.5410197379
129	0.9085976628	0.5399960662
130	0.9094323873	0.5391769501
131	0.9094323873	0.5381327761
132	0.9094323873	0.5371051983
133	0.9085976628	0.53628569
134	0.9111018364	0.5353528401
135	0.909015025	0.5346416136
136	0.9094323873	0.5335481853
137	0.9115191987	0.5327811117
138	0.9127712855	0.5318843157
139	0.9140233723	0.5308015117
140	0.9152754591	0.5297638325
141	0.9148580968	0.5287294143
142	0.9152754591	0.5281872771
143	0.9144407346	0.5272938238
144	0.9173622705	0.5264662704
145	0.9161101836	0.5256592306
146	0.9173622705	0.524642832
147	0.9190317195	0.523711103
148	0.9202838063	0.5229500222
149	0.9198664441	0.5222516966
150	0.9198664441	0.5212241983
151	0.9211185309	0.5205459139
152	0.9211185309	0.5197662589
153	0.9215358932	0.5191091117
154	0.92278798	0.5183580898
155	0.9219532554	0.5177975486
156	0.92278798	0.5171055804
157	0.9223706177	0.5163300554
158	0.9219532554	0.5156567083
159	0.92278798	0.5147986789
160	0.92278798	0.5140828208
161	0.9236227045	0.5134061348
162	0.9248747913	0.5126968018
163	0.9265442404	0.5120593836
164	0.9273789649	0.5111758866
165	0.9277963272	0.5103916343
166	0.9286310518	0.5097934768
167	0.9273789649	0.5090630698
168	0.9294657763	0.5081745961
