iter	Accuracy	Logloss
115	0.7064444444	0.5766671673
116	0.7064444444	0.5764325535
117	0.7064444444	0.5761972026
118	0.7064444444	0.5759699122
119	0.7064444444	0.5757517923
120	0.7064444444	0.5755277155
121	0.7064444444	0.5753073979
122	0.7064444444	0.5751213722
123	0.7064444444	0.5749223735
124	0.7064444444	0.5747288165
125	0.7064444444	0.5745572838
126	0.7064444444	0.5743760543
127	0.7064444444	0.5741879997
128	0.7064444444	0.5740036465
129	0.7064444444	0.5738343369
130	0.7064444444	0.57365619
131	0.7064444444	0.5734746488
132	0.7064444444	0.5733063953
133	0.7064444444	0.5731443926
134	0.7064444444	0.5729788619
135	0.7064444444	0.5728211516
136	0.7064444444	0.5726689115
137	0.7064444444	0.5725258812
138	0.7064444444	0.5723724677
139	0.7064444444	0.5722303724
140	0.7064444444	0.5720792322
141	0.7064444444	0.5719382494
142	0.7064444444	0.5718011604
143	0.7064444444	0.5716737805
144	0.7064444444	0.5715391009
145	0.7064444444	0.5714136029
146	0.7064444444	0.571287243
147	0.7064444444	0.5711562583
148	0.7064444444	0.5710317125
149	0.7064444444	0.5709098754
150	0.7064444444	0.57080646
151	0.7064444444	0.5706909341
152	0.7064444444	0.570590772
153	0.7064444444	0.5704790435
154	0.7064444444	0.5703633681
155	0.7064444444	0.5702471124
156	0.7064444444	0.5701407985
157	0.7064444444	0.5700423557
158	0.7065	0.5699537475
159	0.7065	0.5698540835
160	0.7064444444	0.5697566442
161	0.7064444444	0.5696583959
162	0.7064444444	0.5695596223
163	0.7064444444	0.5694630535
164	0.7064444444	0.5693713866
165	0.7064444444	0.5692895474
166	0.7064444444	0.5692301952
167	0.7064444444	0.5691519549
168	0.7064444444	0.5690780118
169	0.7064444444	0.5689973782
170	0.7064444444	0.5689173098
171	0.7064444444	0.5688477996
172	0.7064444444	0.5687758556
173	0.7064444444	0.5687079616
174	0.7064444444	0.5686383782
175	0.7064444444	0.56856829
176	0.7064444444	0.5684893987
177	0.7064444444	0.5684228287
178	0.7064444444	0.568351164
179	0.7064444444	0.5682808015
180	0.7064444444	0.5682186147
181	0.7064444444	0.5681671309
182	0.7064444444	0.5681080517
183	0.7064444444	0.5680500057
184	0.7064444444	0.5679893054
185	0.7064444444	0.5679302907
186	0.7064444444	0.5678670461
187	0.7064444444	0.5678124687
188	0.7064444444	0.5677490482
189	0.7064444444	0.5676930992
190	0.7064444444	0.5676378127
191	0.7064444444	0.5675821476
192	0.7064444444	0.567534321
193	0.7064444444	0.567484691
194	0.7064444444	0.5674422066
195	0.7064444444	0.5673951702
196	0.7064444444	0.5673489967
197	0.7064444444	0.5672970613
198	0.7064444444	0.5672536995
199	0.7064444444	0.56720384
200	0.7064444444	0.5671578468
201	0.7064444444	0.5671128607
202	0.7064444444	0.5670710682
203	0.7064444444	0.5670286084
204	0.7064444444	0.5669915911
205	0.7064444444	0.5669470198
206	0.7064444444	0.5669146968
207	0.7064444444	0.5668717106
208	0.7064444444	0.5668353837
209	0.7064444444	0.5667982193
210	0.7064444444	0.5667638061
211	0.7064444444	0.5667293879
212	0.7064444444	0.5666913862
213	0.7064444444	0.5666585912
214	0.7064444444	0.5666240755
215	0.7064444444	0.566585957
216	0.7064444444	0.5665489163
217	0.7064444444	0.5665194276
218	0.7064444444	0.5664861637
219	0.7064444444	0.5664552789
220	0.7064444444	0.5664242589
221	0.7064444444	0.5663909289
222	0.7064444444	0.5663578038
223	0.7064444444	0.5663329661
224	0.7064444444	0.5663023935
225	0.7064444444	0.5662691938
226	0.7064444444	0.5662397935
227	0.7064444444	0.5662108987
228	0.7064444444	0.5661839031
